АКСЕЛЕРОМЕТР X (m/s²);АКСЕЛЕРОМЕТР Y (m/s²);АКСЕЛЕРОМЕТР Z (m/s²);ТЯЖЕСТЬ X (m/s²);ТЯЖЕСТЬ Y (m/s²);ТЯЖЕСТЬ Z (m/s²);ЛИНЕЙНОЕ УСКОРЕНИЕ X (m/s²);ЛИНЕЙНОЕ УСКОРЕНИЕ Y (m/s²);ЛИНЕЙНОЕ УСКОРЕНИЕ Z (m/s²);ГИРОСКОП X (rad/s);ГИРОСКОП Y (rad/s);ГИРОСКОП Z (rad/s);ОСВЕЩЕНИЕ (lux);МАГНИТНОЕ ПОЛЕ X (μT);МАГНИТНОЕ ПОЛЕ Y (μT);МАГНИТНОЕ ПОЛЕ Z (μT);ОРИЕНТАЦИЯ Z (azimuth °);ОРИЕНТАЦИЯ X (pitch °);ОРИЕНТАЦИЯ Y (roll °);ПРИБЛИЖЕНИЕ (i);УРОВЕНЬ ЗВУКА (dB);МЕСТОПОЛОЖЕНИЕ Широта : ;МЕСТОПОЛОЖЕНИЕ Долгота : ;МЕСТОПОЛОЖЕНИЕ Высота над ур. моря ( m);МЕСТОПОЛОЖЕНИЕ Высота над ур. моря-google ( m);МЕСТОПОЛОЖЕНИЕ Скорость ( км/ч);МЕСТОПОЛОЖЕНИЕ Погрешность ( m);МЕСТОПОЛОЖЕНИЕ ОРИЕНТАЦИЯ (°);доступных спутников;Время он начала в мс. ;YYYY-MO-DD HH-MI-SS_SSS
2.658829;1.47641;6.134491;2.073977;2.54816;9.239907;0.605462;-1.046427;-3.013595;-1.762253;0.093689;1.686798;118.0;-6.8848;5.1392;-48.3902;350.67;-16.5365;-12.8806;1.97;33.288;49.050343;38.218014;239.5722;NaN;0.0;20.748388;;12 / 21;23;2021-10-04 19:13:24:449
3.913391;1.948074;7.968445;2.124971;2.22195;9.312241;1.811198;-0.250058;-1.243977;-1.762253;0.093689;1.686798;118.0;-6.8848;5.1392;-48.3902;350.67;-16.5365;-12.8806;1.97;33.288;49.050343;38.218014;239.5722;NaN;0.0;20.748388;;12 / 21;27;2021-10-04 19:13:24:453
3.913391;1.948074;7.968445;2.124971;2.22195;9.312241;1.811198;-0.250058;-1.243977;-1.616302;-0.316437;1.482269;118.0;-6.8848;5.1392;-48.3902;350.67;-16.5365;-12.8806;1.97;33.288;49.050343;38.218014;239.5722;NaN;0.0;20.748388;;12 / 21;33;2021-10-04 19:13:24:459
3.913391;1.948074;7.968445;2.124971;2.22195;9.312241;1.811198;-0.250058;-1.243977;-1.616302;-0.316437;1.482269;118.0;-6.8848;5.1392;-48.3902;350.67;-16.5365;-12.8806;1.97;33.288;49.050343;38.218014;239.5722;NaN;0.0;20.748388;;12 / 21;37;2021-10-04 19:13:24:463
3.913391;1.948074;7.968445;2.124971;2.22195;9.312241;1.811198;-0.250058;-1.243977;-1.616302;-0.316437;1.482269;118.0;-6.8848;5.1392;-48.3902;350.67;-16.5365;-12.8806;1.97;24.99999;49.050343;38.218014;239.5722;NaN;0.0;20.748388;;12 / 21;42;2021-10-04 19:13:24:468
4.770508;1.658371;9.311584;2.244203;1.930284;9.349221;2.550412;-0.251178;0.062793;-1.459717;-0.596603;1.334198;118.0;-6.2668;6.8161;-48.5046;341.2623;-11.3519;-13.498;1.97;24.99999;49.050343;38.218014;239.5722;NaN;0.0;20.748388;;12 / 21;47;2021-10-04 19:13:24:473
4.770508;1.658371;9.311584;2.244203;1.930284;9.349221;2.550412;-0.251178;0.062793;-1.459717;-0.596603;1.334198;118.0;-6.2668;6.8161;-48.5046;341.2623;-11.3519;-13.498;1.97;24.99999;49.050343;38.218014;239.5722;NaN;0.0;20.748388;;12 / 21;52;2021-10-04 19:13:24:478
5.46962;1.102921;10.673889;2.415178;1.704116;9.350577;3.078424;-0.584274;1.41616;-1.00058;-0.940689;0.975204;118.0;-6.2668;6.8161;-48.5046;341.2623;-11.3519;-13.498;1.97;24.99999;49.050343;38.218014;239.5722;NaN;0.0;20.748388;;12 / 21;57;2021-10-04 19:13:24:483
5.46962;1.102921;10.673889;2.415178;1.704116;9.350577;3.078424;-0.584274;1.41616;-1.00058;-0.940689;0.975204;118.0;-7.0206;8.7845;-48.9182;341.2623;-11.3519;-13.498;1.97;24.99999;49.050343;38.218014;239.5722;NaN;0.0;20.748388;;12 / 21;66;2021-10-04 19:13:24:492
5.46962;1.102921;10.673889;2.415178;1.704116;9.350577;3.078424;-0.584274;1.41616;-1.00058;-0.940689;0.975204;118.0;-7.0206;8.7845;-48.9182;341.2623;-11.3519;-13.498;1.97;24.99999;49.050343;38.218014;239.5722;NaN;0.0;20.748388;;12 / 21;66;2021-10-04 19:13:24:492
